time, Vcn, Von, VoVcn,
3.343838, 1.678198, 1.683032, 0.004834,
3.353800, 1.677393, 1.679004, 0.001611,
3.363857, 1.677393, 1.666113, -0.011279,
3.373903, 1.672559, 1.657251, -0.015308,
3.384013, 1.674976, 1.656445, -0.018530,
3.394131, 1.678198, 1.666113, -0.012085,
3.404286, 1.674170, 1.666919, -0.007251,
3.414355, 1.672559, 1.660474, -0.012085,
3.424580, 1.670142, 1.654834, -0.015308,
3.434789, 1.674170, 1.662891, -0.011279,
3.444898, 1.669336, 1.670142, 0.000806,
3.454797, 1.670142, 1.669336, -0.000806,
3.465016, 1.673364, 1.658862, -0.014502,
3.475248, 1.668530, 1.676587, 0.008057,
3.485143, 1.677393, 1.670142, -0.007251,
3.495242, 1.664502, 1.644360, -0.020142,
3.505363, 1.672559, 1.672559, 0.000000,
3.507822, 1.677393, 1.670142, -0.007251,
3.517898, 1.670947, 1.669336, -0.001611,
3.528134, 1.662085, 1.660474, -0.001611,
3.538357, 1.664502, 1.669336, 0.004834,
3.548255, 1.662085, 1.654834, -0.007251,
3.558360, 1.658862, 1.654834, -0.004028,
3.568580, 1.656445, 1.670142, 0.013696,
3.578575, 1.662085, 1.650000, -0.012085,
3.588684, 1.662085, 1.658862, -0.003223,
3.598801, 1.662891, 1.654028, -0.008862,
3.608911, 1.666113, 1.657251, -0.008862,
3.619015, 1.662085, 1.666113, 0.004028,
3.629016, 1.666919, 1.641138, -0.025781,
3.639163, 1.654834, 1.668530, 0.013696,
3.649017, 1.664502, 1.670947, 0.006445,
3.659029, 1.664502, 1.662891, -0.001611,
3.669259, 1.664502, 1.678198, 0.013696,
3.679253, 1.662085, 1.660474, -0.001611,
3.689361, 1.665308, 1.669336, 0.004028,
3.699334, 1.664502, 1.661279, -0.003223,
3.709347, 1.669336, 1.658057, -0.011279,
3.719376, 1.662085, 1.670947, 0.008862,
3.729357, 1.664502, 1.666113, 0.001611,
3.739363, 1.669336, 1.665308, -0.004028,
3.749587, 1.666113, 1.637915, -0.028198,
3.759687, 1.668530, 1.648389, -0.020142,
3.769905, 1.666113, 1.666919, 0.000806,
3.779898, 1.668530, 1.661279, -0.007251,
3.790032, 1.666919, 1.666919, 0.000000,
3.799930, 1.668530, 1.674170, 0.005640,
3.809806, 1.673364, 1.647583, -0.025781,
3.819900, 1.666113, 1.676587, 0.010474,
3.829898, 1.666113, 1.662891, -0.003223,
3.840018, 1.666919, 1.654834, -0.012085,
3.850252, 1.670947, 1.664502, -0.006445,
3.860360, 1.678198, 1.662085, -0.016113,
3.870581, 1.683032, 1.674170, -0.008862,
3.880797, 1.677393, 1.679004, 0.001611,
3.890620, 1.676587, 1.673364, -0.003223,
3.900796, 1.677393, 1.676587, -0.000806,
3.910806, 1.676587, 1.657251, -0.019336,
3.920903, 1.678198, 1.674976, -0.003223,
3.931219, 1.677393, 1.676587, -0.000806,
3.941250, 1.674976, 1.660474, -0.014502,
3.951456, 1.670142, 1.662085, -0.008057,
3.961529, 1.677393, 1.647583, -0.029810,
3.971686, 1.670142, 1.668530, -0.001611,
3.981921, 1.677393, 1.658862, -0.018530,
3.992049, 1.673364, 1.662085, -0.011279,
4.002246, 1.674170, 1.668530, -0.005640,
4.012359, 1.682227, 1.679810, -0.002417,
4.022481, 1.674976, 1.662891, -0.012085,
4.032684, 1.673364, 1.657251, -0.016113,
