time, Vca,
46.231732, 1.644360,
46.237143, 1.645166,
46.242674, 1.643555,
46.248123, 1.644360,
46.253591, 1.648389,
46.259017, 1.645972,
46.264545, 1.645166,
46.270000, 1.641943,
46.275587, 1.643555,
46.281020, 1.643555,
46.286490, 1.645166,
46.291991, 1.647583,
46.296815, 1.644360,
46.302258, 1.647583,
46.307718, 1.643555,
46.313132, 1.641943,
46.318595, 1.643555,
46.324145, 1.645972,
46.329565, 1.645972,
46.334999, 1.645972,
46.340526, 1.644360,
46.345958, 1.645166,
46.351490, 1.645972,
46.356941, 1.650806,
46.362362, 1.645166,
46.367870, 1.641943,
46.373422, 1.647583,
46.378845, 1.647583,
46.384280, 1.648389,
46.389780, 1.647583,
46.395205, 1.647583,
46.400674, 1.647583,
46.406134, 1.647583,
46.411563, 1.641943,
46.417067, 1.645972,
46.422594, 1.647583,
46.428014, 1.644360,
46.433517, 1.647583,
46.438994, 1.647583,
46.444398, 1.645972,
46.449809, 1.647583,
46.455182, 1.647583,
46.460575, 1.650000,
46.466052, 1.645972,
46.471574, 1.645972,
46.477020, 1.643555,
46.482405, 1.647583,
46.487785, 1.647583,
46.493202, 1.647583,
46.498699, 1.645972,
46.504144, 1.648389,
46.509585, 1.658057,
46.515120, 1.658862,
46.520694, 1.657251,
46.526125, 1.653223,
46.531528, 1.656445,
46.536936, 1.654834,
46.542485, 1.656445,
46.547916, 1.654028,
46.552920, 1.654028,
46.558346, 1.652417,
46.563870, 1.654834,
46.569299, 1.654028,
46.574824, 1.654834,
46.580266, 1.654028,
46.585722, 1.657251,
46.591287, 1.654834,
46.596729, 1.652417,
46.602165, 1.654834,
46.607615, 1.652417,
46.613029, 1.650806,
46.618570, 1.654834,
46.624178, 1.654028,
46.629607, 1.654834,
46.635071, 1.654834,
46.640609, 1.654028,
46.646021, 1.653223,
46.651512, 1.653223,
46.656949, 1.653223,
46.662393, 1.654834,
46.667934, 1.650806,
46.673495, 1.654028,
46.678988, 1.649194,
46.683803, 1.649194,
46.689309, 1.653223,
46.694736, 1.650000,
46.700195, 1.653223,
46.705378, 1.650000,
46.710808, 1.654028,
46.716304, 1.654028,
46.721831, 1.653223,
46.727257, 1.650806,
46.732723, 1.654028,
46.738154, 1.647583,
46.743601, 1.654834,
46.749062, 1.654834,
46.753268, 1.654834,
46.757798, 1.652417,
46.758914, 1.650806,
46.764655, 1.650806,
46.770207, 1.653223,
46.775700, 1.654028,
46.781130, 1.654028,
46.786529, 1.653223,
46.792046, 1.652417,
46.797502, 1.650806,
46.802726, 1.650806,
46.808157, 1.650000,
46.813677, 1.650000,
46.818868, 1.650806,
46.824290, 1.652417,
46.829746, 1.643555,
46.835203, 1.644360,
46.840766, 1.641943,
46.846210, 1.643555,
46.851699, 1.639526,
46.857160, 1.641138,
46.862603, 1.644360,
46.868157, 1.644360,
46.873699, 1.644360,
46.879160, 1.643555,
46.884595, 1.639526,
46.890134, 1.645166,
46.895592, 1.640332,
46.901021, 1.645166,
46.906463, 1.641943,
46.911914, 1.641943,
46.917392, 1.641138,
46.922918, 1.645972,
46.928374, 1.647583,
46.933818, 1.645972,
46.939306, 1.643555,
46.944745, 1.641943,
46.950193, 1.647583,
46.955670, 1.641943,
46.961142, 1.641943,
46.966677, 1.644360,
46.972162, 1.647583,
46.977641, 1.645972,
46.983066, 1.648389,
46.988598, 1.645972,
46.994034, 1.645166,
46.999514, 1.644360,
47.004947, 1.645166,
47.010385, 1.644360,
47.015856, 1.643555,
47.021379, 1.647583,
47.026818, 1.647583,
47.032167, 1.648389,
47.037574, 1.648389,
47.043078, 1.643555,
47.048514, 1.643555,
47.053883, 1.649194,
47.059280, 1.648389,
47.064768, 1.643555,
47.070209, 1.647583,
47.075701, 1.645166,
47.081137, 1.645166,
47.086570, 1.650000,
47.092128, 1.647583,
47.097572, 1.645972,
47.102987, 1.647583,
47.108435, 1.647583,
47.113923, 1.645972,
47.119331, 1.645972,
