=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:16:06 =~=~=~=~=~=~=~=~=~=~=~=
************************************************************...temp init complete
Cx9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 3.302750, 1.525928,
x_unit, 3.309729, 1.527539,
x_unit, 3.316764, 1.528345,
x_unit, 3.324533, 1.528345,
x_unit, 3.331609, 1.528345,
x_unit, 3.338687, 1.525928,
x_unit, 3.345645, 1.532373,
x_unit, 3.352636, 1.525928,
x_unit, 3.359627, 1.529150,
x_unit, 3.366709, 1.531567,
x_unit, 3.373848, 1.529150,
x_unit, 3.381865, 1.529956,
x_unit, 3.389972, 1.527539,
x_unit, 3.397010, 1.529956,
x_unit, 3.403955, 1.525928,
x_unit, 3.410914, 1.529956,
x_unit, 3.417901, 1.524316,
x_unit, 3.425704, 1.529150,
x_unit, 3.432683, 1.529956,
x_unit, 3.439735, 1.529956,
x_unit, 3.446687, 1.529150,
x_unit, 3.453635, 1.529150,
x_unit, 3.460625, 1.524316,
x_unit, 3.467676, 1.524316,
x_unit, 3.474686, 1.529956,
x_unit, 3.482275, 1.528345,
x_unit, 3.490344, 1.520288,
x_unit, 3.497881, 1.537207,
x_unit, 3.504857, 1.536401,
x_unit, 3.512469, 1.533984,
x_unit, 3.520551, 1.535596,
x_unit, 3.527600, 1.537207,
x_unit, 3.534632, 1.536401,
x_unit, 3.541686, 1.532373,
x_unit, 3.548656, 1.532373,
x_unit, 3.555629, 1.529150,
x_unit, 3.562694, 1.537207,
x_unit, 3.569766, 1.531567,
x_unit, 3.576693, 1.533984,
x_unit, 3.583638, 1.533179,
x_unit, 3.591779, 1.533179,
x_unit, 3.599317, 1.532373,
x_unit, 3.606291, 1.531567,
x_unit, 3.613325, 1.538013,
x_unit, 3.621351, 1.538013,
x_unit, 3.628393, 1.535596,
x_unit, 3.635353, 1.532373,
x_unit, 3.642916, 1.536401,
x_unit, 3.649888, 1.529956,
x_unit, 3.656858, 1.535596,
x_unit, 3.663940, 1.533179,
x_unit, 3.670977, 1.535596,
x_unit, 3.677965, 1.532373,
x_unit, 3.684914, 1.533179,
x_unit, 3.691932, 1.539624,
x_unit, 3.698885, 1.536401,
x_unit, 3.705861, 1.537207,
x_unit, 3.712895, 1.535596,
x_unit, 3.720889, 1.537207,
x_unit, 3.727923, 1.535596,
x_unit, 3.734872, 1.533179,
x_unit, 3.741943, 1.536401,
x_unit, 3.748913, 1.533984,
x_unit, 3.755860, 1.539624,
x_unit, 3.762903, 1.536401,
x_unit, 3.769916, 1.529150,
x_unit, 3.776860, 1.533179,
x_unit, 3.783835, 1.535596,
x_unit, 3.790862, 1.532373,
x_unit, 3.797852, 1.537207,
x_unit, 3.804833, 1.533179,
x_unit, 3.811883, 1.536401,
x_unit, 3.819875, 1.525122,
x_unit, 3.826889, 1.535596,
x_unit, 3.833863, 1.525928,
x_unit, 3.840901, 1.523511,
x_unit, 3.847846, 1.525122,
x_unit, 3.854795, 1.527539,
x_unit, 3.861834, 1.529150,
x_unit, 3.868878, 1.527539,
x_unit, 3.875866, 1.521899,
x_unit, 3.882892, 1.529150,
x_unit, 3.889968, 1.528345,
x_unit, 3.896924, 1.529150,
x_unit, 3.903869, 1.527539,
x_unit, 3.910855, 1.525928,
x_unit, 3.917853, 1.528345,
x_unit, 3.925700, 1.529956,
x_unit, 3.932665, 1.529150,
x_unit, 3.939724, 1.529150,
x_unit, 3.947243, 1.525928,
x_unit, 3.954246, 1.528345,
x_unit, 3.961279, 1.525928,
x_unit, 3.968333, 1.525928,
x_unit, 3.975286, 1.527539,
x_unit, 3.982237, 1.529150,
x_unit, 3.989286, 1.532373,
x_unit, 3.996236, 1.525928,
x_unit, 4.003211, 1.528345,
x_unit, 4.010151, 1.528345,
x_unit, 4.017230, 1.529150,
x_unit, 4.025243, 1.528345,
x_unit, 4.032254, 1.528345,
x_unit, 4.039323, 1.529150,
x_unit, 4.046262, 1.527539,
x_unit, 4.053777, 1.528345,
x_unit, 4.060774, 1.525928,
x_unit, 4.067746, 1.525122,
x_unit, 4.074708, 1.521899,
x_unit, 4.081660, 1.525122,
x_unit, 4.088695, 1.525928,
x_unit, 4.096244, 1.529150,
x_unit, 4.103703, 1.525122,
x_unit, 4.110685, 1.528345,
x_unit, 4.117694, 1.528345,
x_unit, 4.125834, 1.525928,
x_unit, 4.132827, 1.528345,
x_unit, 4.139911, 1.533984,
x_unit, 4.146859, 1.533179,
